id,review,sentiment
1.0,"Dibandingkan dengan HP, Epson lebih irit tinta.",Positif
2.0,Printer Epson lebih hemat tinta dibanding HP.,Positif
3.0,"Saya mencoba Epson dan Canon, Epson lebih stabil.",Positif
4.0,Saya lebih suka Canon karena kualitas warna lebih tajam.,Negatif
5.0,"Saya puas dengan kualitas Epson, lebih baik dari printer lain yang pernah saya pakai.",Positif
6.0,Dukungan teknis Epson lebih baik dibanding Canon.,Positif
7.0,Printer Epson ini sangat bagus dan awet.,Positif
8.0,Harga printer Epson terlalu tinggi dibanding HP.,Negatif
9.0,Harga printer Epson terlalu tinggi dibanding HP.,Negatif
10.0,"Saya kecewa dengan printer ini, kualitas cetakannya jelek.",Negatif
11.0,Epson lebih mudah dirawat dibanding kompetitor.,Positif
12.0,Epson lebih mudah dirawat dibanding kompetitor.,Positif
13.0,"Dibandingkan dengan HP, Epson lebih irit tinta.",Positif
14.0,Printer HP lebih mahal tapi kualitasnya sama saja dengan Epson.,Netral
15.0,Printer HP lebih mahal tapi kualitasnya sama saja dengan Epson.,Netral
16.0,Printer Epson lebih hemat tinta dibanding HP.,Positif
17.0,Dukungan teknis Epson lebih baik dibanding Canon.,Positif
18.0,Canon lebih cepat dalam mencetak foto dibanding Epson.,Negatif
19.0,Xerox lebih cepat dalam mencetak dokumen besar dibanding Epson.,Negatif
20.0,Canon dan Epson memiliki kelebihan masing-masing.,Netral
21.0,Brother lebih baik untuk cetak dokumen teks dibanding Epson.,Negatif
22.0,Printer HP sering mengalami masalah koneksi Wi-Fi.,Positif
23.0,Harga printer Epson terlalu tinggi dibanding HP.,Negatif
24.0,"Saya mencoba Epson dan Canon, Epson lebih stabil.",Positif
25.0,"Epson punya banyak fitur, tapi harganya sedikit lebih mahal dari HP.",Netral
26.0,HP punya desain yang lebih kompak dibanding Epson.,Negatif
27.0,"HP lebih murah, tapi Epson lebih awet.",Positif
28.0,"Saya kecewa dengan printer ini, kualitas cetakannya jelek.",Negatif
29.0,Harga printer Epson terlalu tinggi dibanding HP.,Negatif
30.0,Canon lebih awet dibanding Epson.,Negatif
31.0,Epson lebih mudah dirawat dibanding kompetitor.,Positif
32.0,Epson lebih baik dalam cetakan hitam putih dibanding kompetitor.,Positif
33.0,"Printer ini sering macet, saya kecewa.",Negatif
34.0,Epson memiliki layanan purna jual yang lebih baik dari Brother.,Positif
35.0,Epson punya teknologi baru yang membuat tinta lebih irit.,Positif
36.0,Canon dan Epson memiliki kelebihan masing-masing.,Netral
37.0,Printer HP sering mengalami masalah koneksi Wi-Fi.,Positif
38.0,Printer Epson punya banyak pilihan tinta yang murah.,Positif
39.0,Canon memiliki lebih banyak opsi printer dibanding Epson.,Negatif
40.0,Canon dan Epson memiliki kelebihan masing-masing.,Netral
41.0,Canon lebih awet dibanding Epson.,Negatif
42.0,"Saya senang dengan hasil cetak Epson, warnanya sangat hidup.",Positif
43.0,"Printer Brother lebih murah, tapi Epson lebih tahan lama.",Positif
44.0,Printer ini punya masalah dengan kecepatan cetak.,Negatif
45.0,Epson memiliki layanan purna jual yang lebih baik dari Brother.,Positif
46.0,"Kualitas cetak Epson sangat tajam, lebih baik dari kompetitor.",Positif
47.0,Brother memiliki konektivitas yang lebih baik dari Epson.,Negatif
48.0,Canon dan Epson memiliki kelebihan masing-masing.,Netral
49.0,"Epson punya banyak fitur, tapi harganya sedikit lebih mahal dari HP.",Netral
50.0,Brother lebih baik untuk cetak dokumen teks dibanding Epson.,Negatif
