id,review,sentiment
1,"Dibandingkan dengan HP, Epson lebih irit tinta.",Positif
2,Printer Epson lebih hemat tinta dibanding HP.,Positif
3,"Saya mencoba Epson dan Canon, Epson lebih stabil.",Positif
4,Saya lebih suka Canon karena kualitas warna lebih tajam.,Negatif
5,"Saya puas dengan kualitas Epson, lebih baik dari printer lain yang pernah saya pakai.",Positif
6,Dukungan teknis Epson lebih baik dibanding Canon.,Positif
7,Printer Epson ini sangat bagus dan awet.,Positif
8,Harga printer Epson terlalu tinggi dibanding HP.,Negatif
9,Harga printer Epson terlalu tinggi dibanding HP.,Negatif
10,"Saya kecewa dengan printer ini, kualitas cetakannya jelek.",Negatif
11,Epson lebih mudah dirawat dibanding kompetitor.,Positif
12,Epson lebih mudah dirawat dibanding kompetitor.,Positif
13,"Dibandingkan dengan HP, Epson lebih irit tinta.",Positif
14,Printer HP lebih mahal tapi kualitasnya sama saja dengan Epson.,Netral
15,Printer HP lebih mahal tapi kualitasnya sama saja dengan Epson.,Netral
16,Printer Epson lebih hemat tinta dibanding HP.,Positif
17,Dukungan teknis Epson lebih baik dibanding Canon.,Positif
18,Canon lebih cepat dalam mencetak foto dibanding Epson.,Negatif
19,Xerox lebih cepat dalam mencetak dokumen besar dibanding Epson.,Negatif
20,Canon dan Epson memiliki kelebihan masing-masing.,Netral
21,Brother lebih baik untuk cetak dokumen teks dibanding Epson.,Negatif
22,Printer HP sering mengalami masalah koneksi Wi-Fi.,Positif
23,Harga printer Epson terlalu tinggi dibanding HP.,Negatif
24,"Saya mencoba Epson dan Canon, Epson lebih stabil.",Positif
25,"Epson punya banyak fitur, tapi harganya sedikit lebih mahal dari HP.",Netral
26,HP punya desain yang lebih kompak dibanding Epson.,Negatif
27,"HP lebih murah, tapi Epson lebih awet.",Positif
28,"Saya kecewa dengan printer ini, kualitas cetakannya jelek.",Negatif
29,Harga printer Epson terlalu tinggi dibanding HP.,Negatif
30,Canon lebih awet dibanding Epson.,Negatif
31,Epson lebih mudah dirawat dibanding kompetitor.,Positif
32,Epson lebih baik dalam cetakan hitam putih dibanding kompetitor.,Positif
33,"Printer ini sering macet, saya kecewa.",Negatif
34,Epson memiliki layanan purna jual yang lebih baik dari Brother.,Positif
35,Epson punya teknologi baru yang membuat tinta lebih irit.,Positif
36,Canon dan Epson memiliki kelebihan masing-masing.,Netral
37,Printer HP sering mengalami masalah koneksi Wi-Fi.,Positif
38,Printer Epson punya banyak pilihan tinta yang murah.,Positif
39,Canon memiliki lebih banyak opsi printer dibanding Epson.,Negatif
40,Canon dan Epson memiliki kelebihan masing-masing.,Netral
41,Canon lebih awet dibanding Epson.,Negatif
42,"Saya senang dengan hasil cetak Epson, warnanya sangat hidup.",Positif
43,"Printer Brother lebih murah, tapi Epson lebih tahan lama.",Positif
44,Printer ini punya masalah dengan kecepatan cetak.,Negatif
45,Epson memiliki layanan purna jual yang lebih baik dari Brother.,Positif
46,"Kualitas cetak Epson sangat tajam, lebih baik dari kompetitor.",Positif
47,Brother memiliki konektivitas yang lebih baik dari Epson.,Negatif
48,Canon dan Epson memiliki kelebihan masing-masing.,Netral
49,"Epson punya banyak fitur, tapi harganya sedikit lebih mahal dari HP.",Netral
50,Brother lebih baik untuk cetak dokumen teks dibanding Epson.,Negatif
51,Epson lebih ramah lingkungan dibanding printer lain.,Positif
52,Xerox lebih cepat dalam mencetak dokumen besar dibanding Epson.,Negatif
53,Epson terlalu mahal dibanding kompetitor.,Negatif
54,Epson unggul dalam efisiensi tinta dibanding Canon.,Positif
55,Canon memiliki lebih banyak opsi printer dibanding Epson.,Negatif
56,"Kualitas cetak Epson sangat tajam, lebih baik dari kompetitor.",Positif
57,"Saya mencoba Epson dan Canon, Epson lebih stabil.",Positif
58,"Printer Brother lebih murah, tapi Epson lebih tahan lama.",Positif
59,Kualitas kertas yang digunakan juga mempengaruhi hasil cetakan.,Netral
60,Kualitas kertas yang digunakan juga mempengaruhi hasil cetakan.,Netral
61,"Printer Brother lebih murah, tapi Epson lebih tahan lama.",Positif
62,"Epson punya banyak fitur, tapi harganya sedikit lebih mahal dari HP.",Netral
63,"Printer Brother lebih murah, tapi Epson lebih tahan lama.",Positif
64,Epson unggul dalam efisiensi tinta dibanding Canon.,Positif
65,"Saya mencoba Epson dan Canon, Epson lebih stabil.",Positif
66,Epson punya teknologi baru yang membuat tinta lebih irit.,Positif
67,Harga printer Epson terlalu tinggi dibanding HP.,Negatif
68,"Saya puas dengan kualitas Epson, lebih baik dari printer lain yang pernah saya pakai.",Positif
69,"HP lebih murah, tapi Epson lebih awet.",Positif
70,Saya lebih suka Canon karena kualitas warna lebih tajam.,Negatif
71,Brother lebih baik untuk cetak dokumen teks dibanding Epson.,Negatif
72,Kualitas kertas yang digunakan juga mempengaruhi hasil cetakan.,Netral
73,Xerox lebih cepat dalam mencetak dokumen besar dibanding Epson.,Negatif
74,Epson unggul dalam efisiensi tinta dibanding Canon.,Positif
75,"Printer Brother lebih murah, tapi Epson lebih tahan lama.",Positif
76,Saya lebih suka Canon karena kualitas warna lebih tajam.,Negatif
77,Epson unggul dalam efisiensi tinta dibanding Canon.,Positif
78,"Epson punya banyak fitur, tapi harganya sedikit lebih mahal dari HP.",Netral
79,Epson unggul dalam efisiensi tinta dibanding Canon.,Positif
80,"Saya mencoba HP dan Epson, kualitas keduanya hampir sama.",Netral
81,HP punya desain yang lebih kompak dibanding Epson.,Negatif
82,"Dibandingkan dengan HP, Epson lebih irit tinta.",Positif
83,"Saya suka hasil cetak Epson, tapi harganya lumayan mahal.",Netral
84,Saya lebih memilih Epson karena kehandalannya dalam jangka panjang.,Positif
85,Brother lebih hemat listrik dibanding Epson.,Negatif
86,Printer Epson cepat panas saat mencetak banyak dokumen.,Negatif
87,Printer HP lebih mahal tapi kualitasnya sama saja dengan Epson.,Netral
88,Epson lebih ramah lingkungan dibanding printer lain.,Positif
89,Harga printer Epson terlalu tinggi dibanding HP.,Negatif
90,"HP lebih murah, tapi Epson lebih awet.",Positif
91,"Saya suka hasil cetak Epson, tapi harganya lumayan mahal.",Netral
